text,target
"From: mike@avon.demon.co.uk (""Mike H."")
Subject: Re: Clipper Chip and crypto key-esc 
Distribution: world
Organization: boring
Reply-To: mike@avon.demon.co.uk
X-Newsreader: Simple NEWS 1.90 (ka9q DIS 1.21)
Lines: 20

In article <1993Apr21.131510.3215@memex.co.uk> peter@memex.co.uk writes:

>I thought it was quite difficult to record a modem session at some
>intermediate point on the line. Maybe they have taken a crash course
>in data comms and have a unit that demodulates the tones and stores the
>digital stream for decryption later. This would still suffer from the

>called BABT. It has been stated, either here or in the uk.telecom group,
>that they will not approve equipment that does encryption. I don't know
>if this is true or not, but this would make a good test case.
>
>                Peter Ilieve            peter@memex.co.uk

You forget the obvious! If it is an *authorised* tap then it can be done at
the exchange. If the exchange is *digital* then I suspect that you can
auto-monitor a line and pickup the full link. Therefore syncing a piggyback
modem on the line would not be impossible - I suspect.
-- 

                        Mike H. (mike@avon.demon.co.uk)
",6
"From: v085f2wd@ubvmsb.cc.buffalo.edu (Theodore J Kury)
Subject: Re: lame, dumb and useless question
Organization: University at Buffalo
Lines: 27
News-Software: VAX/VMS VNEWS 1.41
Nntp-Posting-Host: ubvmsb.cc.buffalo.edu

In article <93109.184451RVESTERM@vma.cc.nd.edu>, RVESTERM@vma.cc.nd.edu writes...
>ok, there are three balls on this batter.  the pitcher proceeds to
>bean the batter.
> 
>is that a walk or a hit by pitch?
> 
>bob vesterman.

A HBP, but it reminds of my favorite (apochryphal ? sp ?) Don Drysdale story.

When ordered to intentionally walk a batter who had hot-dogged on him in
two previous at-bats, Drysdale reared back with the first pitch and
drilled him right in the ribs.

His manager came storming out of the dugout and yelled ""What did you do that
for ?""

Drysdale growled back, ""What are you complaining for ? I saved you three
pitches !""

Incidentally, if this is true, I'd love to know the other people involved.

--------------------------------------------------------------------------------
Ted Kury            | ""One man stands... and the wall, cracks... and the wall,  
SUNY at Buffalo     | cracks... and the wall, cracks... and the wall comes
Dept. of Economics  | crumbling down.""                - Anthrax        
--------------------------------------------------------------------------------
",5
"From: allen@well.sf.ca.us (Allen Barrett Ethridge)
Subject: Re: Dorothy Denning opposes Clipper, Capstone wiretap chips
Nntp-Posting-Host: well.sf.ca.us
Organization: The Whole Earth 'Lectronic Link, Sausalito, CA
Lines: 9

In <1993Apr26.063532.10120@eff.org> mnemonic@eff.org (Mike Godwin) writes:

>In article <C614BJ.BK6@agora.rain.com> jhart@agora.rain.com (Jim Hart) writes:
>>""The security of the system should depend only on the secrecy of
>>the keys and not on the secrecy of the algorithms"" -- Dorothy Denning

>Cite source, please.

""Cryptography and Data Security"", page 8, perhaps.
",6
"From: kadie@cs.uiuc.edu (Carl M Kadie)
Subject: Re: Clipper Crap
Organization: University of Illinois, Dept. of Comp. Sci., Urbana, IL
Lines: 9

>encryption's dual-edge sword:  encryption helps to protect the
>privacy of individuals and industry, but it also can shield
>criminals and terrorists.  We need the ""Clipper Chip"" and other

""Necessity is the plea for every infringement of human freedom. It is
the argument of tyrants; it is the creed of slaves."" -- William Pitt
-- 
Carl Kadie -- I do not represent any organization; this is just me.
 = kadie@cs.uiuc.edu =
",6
"From: flash@aragorn.CSEE.Lehigh.Edu (Stephen Corbesero)
Subject: Driver for Chips & Technologies Video Board Needed
Organization: Lehigh University
Lines: 14
Nntp-Posting-Host: aragorn.csee.lehigh.edu

I would like to find a Windows 3.x driver for a video board that is
based on the Chips & Technologies chipset.  The actual board is a
Scorpion Framegrabber made by Univision.  It is based on the C&T
chipset, but only barely supports the graphics mode.  I am hoping that
any C&T driver could be used in the 640x480x256 mode.

Thanks.


--
Stephen Corbesero                     Systems Manager and Adjucnt Lecturer
19 Memorial Drive West                corbesero@eecs.lehigh.edu
EECS Dept, Lehigh University          sgc0@lehigh.edu
Bethlehem, PA 18015                   Voice: 215/758-5001  Fax: 215/758-6279
",1
"From: kbos@carina.unm.edu (K. Mitchell Bose)
Subject: Re: TIGERS
Organization: University of New Mexico, Albuquerque
Lines: 9
NNTP-Posting-Host: carina.unm.edu

*thud*

(see .sig)

-- 
            Kurt Bose (as in Daisy, not Rose) * kbos@carina.unm.edu
Help cleanse R.S.B of all mindless woofing! Whenever someone at your site posts
an article with a subject of the form ""MY TEAM R00LZ!!!!!!"", simply look him up
in the directory, hunt him down, and beat him senseless!  Easy, fun, rewarding!
",5
"From: muchor@fuw.edu.pl (Krzysztof Muchorowski)
Subject: GIF to Targa
Nntp-Posting-Host: fizyk1
Organization: Warsaw University Physics Dept.
Lines: 7

Hello,
   Subject says it all. I need a GIF to Targa converter, so that my
dta15 could make a .FLI of them.
      Krzysztof



",0
"From: LLBGB@utxdp.dp.utexas.edu
Subject: chip / chipset for code 39 barcode?
Organization: UTexas Mail-to-News Gateway
Lines: 15
NNTP-Posting-Host: cs.utexas.edu

Distribution: usa
Reply-To: lihan@ccwf.cc.utexas.edu

While I'm on the net bugging everyone, is there such a thing as a chip
or chipset to decode Code 39 barcode?  I ask for a couple of reasons --
mainly I want a reasonably compact encoding scheme to write information
on magstripe cards and Code 39 appears to be about right.  (If the 'right'
way to do it is something else, and it's reasonably easy, can someone let
me know?)

I might not get a chance to reply too quickly to this or my earlier post,
but I'll get to them within a couple days, I think ..

thanx everyone!  <BGB>  lihan@ccwf.cc.utexas.edu

",7
"From: paula@koufax.cv.hp.com (Paul Andresen)
Subject: Re: MLB = NBA?
Nntp-Posting-Host: koufax.cv.hp.com
Organization: Hewlett-Packard Company, Corvallis, Oregon USA
Lines: 20

In article <kbanaian.495.735252811@bernard.pitzer.claremont.edu>, kbanaian@bernard.pitzer.claremont.edu (King Banaian) writes:
|> 
|> There is absolutely, positively, quite verifiably, NO causation that runs 
|> from salaries to ticket prices.  The two are separable decisions.  The 
|> owners do not raise ticket prices to recoup costs;  they raise ticket prices 
|> because demand for seats has risen.  (Wish I had bold type for that ""NO"".)
|> 
|> For more evidence, please come to my Intro to Econ course, somewhere around 
|> lecture four:  Sunk Costs, Opportunity Costs, Marginal Costs.

Right on. Ticket prices are set to maximize revenue. Period. For an excellent
discussion on how this works, see Gerald Scully's book of a couple of years
back, titled (I think) ""The Business Of Baseball"".
--------------------------------------------------------------------------------
           We will stretch no farm animal beyond its natural length

  paula@koufax.cv.hp.com   Paul Andresen  Hewlett-Packard  (503)-750-3511

    home: 3006 NW McKinley    Corvallis, OR 97330       (503)-752-8424
                            A SABR member since 1979
",5
"From: tcora@pica.army.mil (Tom Coradeschi)
Subject: Re: Ok, So I was a little hasty...
Organization: Elect Armts Div, US Army Armt RDE Ctr, Picatinny Arsenal, NJ
Lines: 35
Nntp-Posting-Host: b329-gator-3.pica.army.mil

speedy@engr.latech.edu (Speedy Mercer) wrote:
> 
> randy@megatek.com (Randy Davis) writes:
> 
> > speedy@engr.latech.edu (Speedy Mercer) writes:
> >| jnmoyne@lbl.gov (Jean-Noel Moyne) writes:
> >|>       What does ""DWI"" stand for ? I thought it was ""DUI"" for Driving Under
> >|>Influence, so here what does W stand for ?
> >|
> >|Driving While Intoxicated.
> 
> >  Actually, I beleive ""DWI"" normally means ""Driving While Impaired"" rather
> >than ""Intoxicated"", at least it does in the states I've lived in...
> 
> >|This was changed here in Louisiana when a girl went to court and won her 
> >|case by claiming to be stoned on pot, NOT intoxicated on liquor!
> 
> >  One can be imparied without necessarily being impaired by liquor - drugs,
> >not enough sleep, being a total moron :-), all can impair someone etc...  I'm
> >surprised this got her off the hook...  Perhaps DWI in Lousiana *is* confined
> >to liquor?
> 
> Lets just say it is DUI here now!

OK. It varies from state to state. It has to do with operating a vehicle
while there is greater than a given percentage of alcohol in your
bloodstream. Can we drop this now, and get back to asking Ed Green to
getabike?

                  tom coradeschi <+> tcora@pica.army.mil
 
   ""Usenet is like a herd of performing elephants with diarrhea -- massive,
difficult to redirect, awe-inspiring, entertaining, and a source of mind-
boggling amounts of excrement when you least expect it.""
                                                    --gene spafford, 1992
",4
"From: neuhaus@vier.informatik.uni-kl.de (Stephan Neuhaus (HiWi Mattern))
Subject: Re: Clipper Crap
Nntp-Posting-Host: vier.informatik.uni-kl.de
Organization: University of Kaiserslautern, Germany
Lines: 19

kckluge@eecs.umich.edu (Karl Kluge) writes:

>In article <1993Apr17.071859.9555@csus.edu> sphughes@sfsuvax1.sfsu.edu (Shaun P. Hughes) writes:

>      Just a random passing thought, but can anyone cite a documented use
>   of encryption technology by criminals and terrorists.
>      (Excluding the Iran-Contra Gang)

Just a couple of days ago, I heard on the radio news that a Neo-Nazi
organization had set up a BBS to keep its members informed.  According
to the radio man, the Nazis were using encryption to reduce their risk
if they were prosecuted.  No, I do not have any more information.

Have fun.

-- 
Stephan <neuhaus@informatik.uni-kl.de>
sig closed for inventory.  Please leave your pickaxe outside.
PGP 2.2 public key available on request.  Note the expiration date.
",6
"From: bobmon@cs.indiana.edu (Bob Montante)
Subject: WANTED: bus card for Logitech Mouse
Article-I.D.: news.1993Apr1.162131.4673
Expires: 5/15/1993
Distribution: na
Organization: dyskaryotic
Lines: 7

I've acquired an old Logitech Series 7 (3-button) mouse, and I'm told
that this is a bus mouse.  Does anyone want to unload an old
(pc-clone) bus-card for this mouse?

email replies to:  bobmon@cs.indiana.edu

thanks.
",2
"From: chris.crayton@ozonehole.com (Chris Crayton) 
Subject: Com ports 5-8.
Distribution: world
Organization: Ozone Online Operations, Inc. - New Orleans, LA
Reply-To: chris.crayton@ozonehole.com (Chris Crayton) 
Lines: 17

*** On 04-21-93  04:54, Mark had the unmitigated gall to say this:

 Ma> Does anyone know what the standard port addresses are for COM ports 5
 Ma> through 8? (If there is a standard of any sort!)

There are no standards for PC COM ports above COM2.  While there are ""de
facto"" standards for COM 3-4, they are not guarenteed to work.  The PS/2 can
use up to 8 ports, I think, but I don't know the specs.  Good luck!

... I tried to contain myself, but I escaped.
--- Blue Wave/QWK v2.10
                         
----
The Ozone Hole BBS * A Private Bulletin Board Service * (504)891-3142
3 Full Service Nodes * USRobotics 16.8K bps * 10 Gigs * 100,000 Files
SKYDIVE New Orleans! * RIME Network Mail HUB * 500+ Usenet Newsgroups
Please route all questions or inquiries to:  postmaster@ozonehole.com
",2
"From: nraclaw@jade.tufts.edu (Nissan Raclaw)
Subject: Re: Final Solution for Gaza ?
Organization: Tufts University - Medford, MA
Lines: 27



	The honest answer to your question about Arabs who were expelled
from Jaffa, and/or who fled Jaffa, or anywhere else in Israel, having
the right to return is:  Yes, unfortunately, they have the right to
return.  They may apply for citizenship like any other non-Israeli and
then go to >Jaffa and try to buy their house back from the Jews who now
own it.  

	And now a question and answer for you:  Can the Jews who were
born and raised in Hebron, or their descendants go back to THEIR homes
in Hebron?  The answer is: absolutely NOT, because they were almost all
murdered by their Arab neighbors - the ""palestinians"".

	Now, do I think the Arabs should be allowed to even visit
""their"" homes in Jaffa?  Hell, no.  Bring back the Jews of Hebron, Petah
Tikva, Jerusalem, Safed, etc. Then, perhaps I would be in favor of Arabs
returning to their Jaffa homes.  However, seeing as no Arab has yet been
able to bring people back from the dead, I'd say that's out.

With all the hope in the world,

Nissan Ratzlav-Katz

nraclaw@jade.tufts.edu


",9
"From: ger@cv.ruu.nl (Ger Timmens)
Subject: Re: Postscript drawing prog
Nntp-Posting-Host: triton.cv.ruu.nl
Organization: University of Utrecht, 3D Computer Vision Research Group
Lines: 30

In <0010580B.vma7o9@diablo.UUCP> diablo.UUCP!cboesel (Charles Boesel) writes:


>In article <1993Apr19.171704.2147@Informatik.TU-Muenchen.DE> (comp.graphics.gnuplot,comp.graphics), rdd@uts.ipp-garching.mpg.de (Reinhard Drube) writes:
>>In article <C5ECnn.7qo@mentor.cc.purdue.edu>, nish@cv4.chem.purdue.edu (Nishantha I.) writes:
>>|> 	Could somebody let me know of a drawing utility that can be
>>|> used to manipulate postscript files.I am specifically interested in
>>|> drawing lines, boxes and the sort on Postscript contour plots.
>>|> 	I have tried xfig and I am impressed by it's features. However
>>|> it is of no use since I cannot use postscript files as input for the
>>|> programme.Is there a utility that converts postscript to xfig format?
>>|> 	Any help would be greatly appreciated.
>>|> 				Nishantha
>Have you checked out Adobe Illustrator? There are a few Unix versions
>for it available, depending on your platform. I know of two Unix versions:
>One for Mach (NeXT) and for Irix (SGI). There may be others, such
>as for Sun SparcStation, but I don't know for sure.

You can include postscript epsi files in xfig (encapsulated postscript
info files). You can't actually edit the postscript file, but you're able
to draw over the postscript file.

There a eps to epsi converter: eps2epsi (perl program),

Succes,
-- 
Ger Timmens (ger@cv.ruu.nl) 3DCV Research Group, Utrecht, The Netherlands
Tel.: +31 -30 50 67 11;      Room: F.01.7.03;      Fax.: +31 -30 51 33 99
  Unquestionably, there is progress.  The average American now pays out
  twice as much in taxes as he formerly got in wages. --- H. L. Mencken
",0
"From: fw@world.std.com (forrest d whitcher)
Subject: SUMMARY: responses / research on oracle password security
Summary: oracle password encryption, security
Keywords: oracle rdbms os/2 unix network password DES
Organization: The World Public Access UNIX, Brookline, MA
Lines: 68

My original post was:

>I am building an oracle v6 database to serve as a repository for
>information which is considered proprietary or confidential. As such
>I want to verify the security of oracle passwords and apply some of
>the same security checking techniques we use on our *nix systems.
>Specifically I would like to use Crack, or something like it to check
>the encrypted data for easily guessed passwords.
>
>The use of 'Crack' would depend on oracle using the unix password
>encryption scheme, does anyone know if this is the case, or what
>method is used?
>
>Any other methods for security checking / audit in the oracle
>environment would be much appreciated.

This article will just scratch the surface of a few security
considerations, comments are requested. (email: fw@world.std.com)
My thanks to the people who responded, both on usenet and from
Oracle Corp.

The most common response was to suggest use of oracle audit 
features or OPS$ passwords to control access (opinion on OPS$
included suggestions to use and not use). I was also advised to 
use table views to refine the granularity of access control.

One important security consideration in networked installations
is that OPS$ accounts presume that the client host provides user
authentication. Os/2 server OPS$ users are only as secure as the 
_least_ secure machine on the network. Hence you should probably 
not define any OPS$ accounts on systems with PC's, or limit access 
of OPS$ accounts to data with no security concerns. Unix oracle 
servers provide for disabling OPS$ access over the network (orasrv
option), while relying on host security for local processes. 

Internally Oracle provides powerful and well documented (sic) 
audit mechanisms which the DBA will use to monitor system and
data access. These tools can be used to track the primary security
risks from within the Oracle environment.

Oracle password security is based on a proprietary usage of DES
encryption. Oracle Corp. states that the algorithm is not prone
to cleartext attack. This is a difficult claim to substantiate 
since the algorithm is unknown. The concern here is that if users 
choose easily guessed passwords. _If_ a cracker can gain access 
to your oracle database files through the host operating system, 
s/he could extract the 'cyphertext' password data and apply 
cryptanalysis techniques to learn the users passwords.

As security risks go, the above scenario is pretty low severity.
Certainly once an intruder has access to the raw database files,
s/he can access to the data in them. If a cracker _could_ break 
the passwords, however, s/he could do substantial damage without
alerting the auditing mechanism's, and leaving and audit trail
which would point to valid users. At present Oracle (like Unix)
provides no native means of ensuring that passwords are not 
guessable. 

As with all computer security, the most important defense is to 
educate users in the safe choice of passwords. These techniques
are well discussed in internet rfc#1281 and the Crack manual, 
(both available from ftp archive servers) and, UNIX(R) System 
Security (Curry, David A. - Addison-Welsey 1992) 



Forrest Whitcher                 fw@world.std.com
Boston Scientific Corp.          Watertown MA
",6
"From: alan@apple.com (Alan Mimms)
Subject: Re: UART needed (really BREAK detect)
Organization: Apple Computer, Inc.
Lines: 43

In article <3402@tau-ceti.isc-br.com>, jimc@tau-ceti.isc-br.com (Jim
Cathey) wrote:
> 
> In article <alan-210493163447@17.129.12.26> alan@apple.com (Alan Mimms) writes:
> >Actually detecting a BREAK is done by watching for a ""character"" containing
> >all zero bits with the framing error resulting from its receipt.  This
> 
> True enough, but...
> 
> >means that the line stayed in the zero bit state even past the stop bit
> >time slot, which basically indicates a BREAK.  There is no special way to
> >detect BREAK that I have found other than this -- there's no magic signal
> >generated by UARTs, etc.
> 
> Zilog SCC:
> ---------
> 	RR0[7]:  Break Detect
> 
> This is a very popular part, but it has a number of quirks, especially
> in HDLC mode.
> 
> Signetics 68562 DUSCC:
> ---------------------
> 	RSR[2]:  Break Start Detect
> 	RSR[3]:  Break End Detect
> 
> Two of the bits in the Receiver Status Register.  You can enable an interrupt
> on either of these bits going high, too.  Also, only one NULL will be put
> in the FIFO per break detected.
> 
> This is simply the best serial chip I've ever worked with.  _Many_ less
> quirks than the SCC, which is IMHO second-best.  (Death to 8250 devices!)
> 

And I thought I knew a lot about serial devices.  Perhaps I should just
keep my big mouth shut.  Sorry.

Alan Mimms (alan@apple.com, ...!apple!alan)   | My opinions are generally
Portable Macintosh Software Group             | pretty worthless, but
Apple Computer                                | they *are* my own...
Art without engineering is dreaming.  Engineering without art is
calculating.
	-- Steven K. Roberts in ""Computing Across America""
",7
"From: binger@hsh.com
Subject: Re: Wanted: Advice for New Cylist
Organization: HSH Associates
Lines: 26

In article <1993Apr20.150337.2963@rd.hydro.on.ca>, jlevine@rd.hydro.on.ca (Jody Levine) writes:
>>So the question I have is ""HOW DANGEROUS IS RIDING""?            
> 
> It's exactly as dangerous as it looks. You're hard to see and have little
> protection. Keeping out of trouble means knowing your limits, keeping your
> machine in good shape and being able to predict and make up for every stupid
> move that drivers make out there. We deal with it because it's fun, but
> staying alive takes a conscious effort.
> 
> I've        bike                      like       | Jody Levine  DoD #275 kV
>      got a       you can        if you      -PF  | Jody.P.Levine@hydro.on.ca
>                          ride it                 | Toronto, Ontario, Canada


Thanks, Jody. I can't say I've ever seen it summed up so succinctly before.   
I might only add two things.... stupid road design (or poor, at least) and
we deal with it for the fun and *brotherhood* we share with others who take 
their lives in their hads to feel the wind in their hair....IMHO.

Binger

 //////////////////////////////////////\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\
       Binger is Binger@HSH.COM       ||  Is there really such a thing as a
   Welcome to The Attitude Express.   ||  ""corporate"" opinion?  If so, maybe
            Now get out.              ||  my boss will let ME express it. :-)
 \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\//////////////////////////////////////
",4
"From: jimf@centerline.com (Jim Frost)
Subject: Re: Too fast
Organization: CenterLine Software, Inc.
Lines: 36
Distribution: world
NNTP-Posting-Host: 140.239.3.202

boyle@cactus.org (Craig Boyle) writes:
>The quality of autobahns is something of a myth. The road surface
>isn't much different to a typical TX freeway. They are better
>in terms of lighting, safety, signs, roadmarkings etc.

They light the highways in Texas?  Funny, everywhere else I've been
they only light 'em at junctions.

I won't even get into how much road markings vary between states and
localities except to say that there are some areas where markings are
essentially nonexistant.

>>than most of the roads here. A dip in the asphalt that you test your
>>shocks on at 60 will kill you at 130. Don't get me wrong, I love to

>It would have to be quite severe. I don't recall any US freeway,
>without road damage warnings, that i would regard as unsafe
>at 130 in any decent, well damped car.

I suspect you have very limited experience -- US freeways vary
dramatically, particularly between states.  I can name a number of
interstate highways in various parts of the country where 130 would be
very optimistic in any car.

I'm not sure what you call ""quite severe"" in terms of road deviations
but I suspect every single bridge junction on I84 through CT would be
considered so.  They're hard to take at 85mph.  That's not the only
interstate I've seen with such deviations, but it's one I drive
frequently.

Texas is pretty much an edge-case -- you can't assume that everywhere
has roads in such good condition, such flat terrain, and such
wide-open spaces.  It just ain't so.

jim frost
jimf@centerline.com
",3
"Subject: Re: Soundblaster IRQ and Port settings
From: ARowatt@massey.ac.nz (A.J. Rowatt)
Organization: Massey University, Palmerston North, New Zealand
X-Reader: NETNEWS/PC Version 2c
Lines: 17

They don't have a conflict because technically LPT1: does not use
IRQ7!.
     The Parallel printer processor (the actual number escapes
me) contains a printer control register which enables the chip
to transmit an interrupt to the interrupt controller as IRQ7,
then onto the main processor as Int 0x0F. By default the parallel
printer processor does not enable it's interrupt line therefore
no Int 0x0F's will be sourced from the printer controller chip,
thus enabling other devices to use the actual IRQ7.

     Note, this applies to COM ports also which by default do not
route interrupts to the system bus, although COM's software
usually enable this feature as it make monitoring COM port
activity easier than polling the serial UART, thus probably
getting the sound card slighty confused!.

Windows may be a different story....
",2
"From: egreen@east.sun.com (Ed Green - Pixel Cruncher)
Subject: Re: Observation re: helmets
Organization: Sun Microsystems, RTP, NC
Lines: 21
Distribution: world
Reply-To: egreen@east.sun.com
NNTP-Posting-Host: laser.east.sun.com

In article 211353@mavenry.altcit.eskimo.com, maven@mavenry.altcit.eskimo.com (Norman Hamer) writes:
> 
> The question for the day is re: passenger helmets, if you don't know for 
>certain who's gonna ride with you (like say you meet them at a .... church 
>meeting, yeah, that's the ticket)... What are some guidelines? Should I just 
>pick up another shoei in my size to have a backup helmet (XL), or should I 
>maybe get an inexpensive one of a smaller size to accomodate my likely 
>passenger? 

If your primary concern is protecting the passenger in the event of a
crash, have him or her fitted for a helmet that is their size.  If your
primary concern is complying with stupid helmet laws, carry a real big
spare (you can put a big or small head in a big helmet, but not in a
small one).

---
Ed Green, former Ninjaite |I was drinking last night with a biker,
  Ed.Green@East.Sun.COM   |and I showed him a picture of you.  I said,
DoD #0111  (919)460-8302  |""Go on, get to know her, you'll like her!""
 (The Grateful Dead) -->  |It seemed like the least I could do...

",4
"From: saz@hook.corp.mot.com (Scott Zabolotzky)
Subject: .GIF to .BMP
Organization: Motorola, Inc.
Distribution: usa
Nntp-Posting-Host: 129.188.122.164
Lines: 12


Does anybody have any idea where I could find a program that can
convert a .GIF image into a .BMP image suitable for a Windows 
wallpaper (i.e. 256 colors).  Hopefully there's something out there
I can get from an ftp site somewhere...

Thanks in advance...

Scott



",1
"From: ed@cwis.unomaha.edu (Ed Stastny)
Subject: Re: Ftp Site(s) with GIFS
Organization: University of Nebraska at Omaha
Lines: 18

mharring@cch.coventry.ac.uk (MARTIN) writes:

>I have been looking around some Ftp sites and cannot find one with any good
>GIF files. Could someone please tell me of some Ftp sites which do posses
>goods GIFS and a wide range.

Whatever you do, don't FTP to the sites listed in my sig...
 
You won't like what you find...really.  I beg you NOT to GO there!
PLEASE!

...e

--
Ed Stastny           | OTIS Project, END PROCESS, SOUND News and Arts 
PO BX 241113	     | FTP: sunsite.unc.edu (/pub/multimedia/pictures/OTIS)
Omaha, NE 68124-1113 |      141.214.4.135 (projects/otis)
---------------------- EMail: ed@cwis.unomaha.edu, ed@sunsite.unc.edu
",0
"From: roger@crux.Princeton.EDU (Roger Lustig)
Subject: Re: Sandberg, Runs, RBIs (was: Re: Notes on Jays vs. Indians Series)
Originator: news@nimaster
Nntp-Posting-Host: crux.princeton.edu
Reply-To: roger@astro.princeton.edu (Roger Lustig)
Organization: Princeton University
Distribution: na
Lines: 36

In article <C5JqBy.M7A@news.rich.bnr.ca> bratt@crchh7a9.NoSubdomain.NoDomain (John Bratt) writes:
>In article <C5JM0M.6Jw@cs.dal.ca>, niguma@ug.cs.dal.ca (Gord Niguma) writes:
>|>
>|>   Alomar fans left RBI fans and Runs off this list because they are dependant
>|> on the team. (To a large extent). If Frank Thomas hit first, he'd lose a LOT
>|> of RBI's; and anyways how many 2nd place hitters have you known to drive
>|> in 100 runs? Doesn't happen that often.....very unlikely with Devon White's
>|> ~.300 OBP in front of you...
>I'm pretty sure that Sandberg has done this at least once.  (I know someone
>will correct me if I'm wrong.)  

>RBIs and Runs scored are the two most important offensive statistics.  You
>can talk about OBP and SLG% all you want, but the fact remains:

>	The team that scores more runs wins the game!
>	---------------------------------------------

Right.  So who cares which PLAYER gets credited, as long as the TEAM
gets more runs?  If a player helps the TEAM get more R and RBI, but 
doesn't score them all himself, who cares?

Consider:

Player A: single.
Player B: grounder to short; reaches on the force at 2nd.
Player C: Double, B to 3rd.
Player D: Sac fly.

B gets a run, D gets an RBI.  Are you *sure* they helped the team
more than A and C?  Think hard, now.

>Flame Away

As you wish.

Roger
",5
"From: woobin@dance.ee.washington.edu (Woobin Lee)
Subject: Re: .Extensions
Organization: Image Computing Systems Lab, University of Washington
Lines: 28
NNTP-Posting-Host: dance.ee.washington.edu

In article <1993Apr22.114401.7152@ericsson.se> etxmst@sta.ericsson.se writes:
>I was wondering what the country extension are.
>Sometimes I just don't have a clue from where
>some people are writing.
>
>These are the extensions I know of
>
>ch   Switzerland
>se   Sweden
>fi   Finland
>uk   UK
>Com  US?
>Edu  US?     (are both com and edu US?) 
>fr   France
>
>Please feel free to add to this list.
>
>/ Markus

nz	New Zealand
au	Australia
jp	Japan
kr	Korea
-- 

Woobin Lee -----------------------------------------------------------------
				||
Image Computing System Lab	||	woobin@u.washington.edu
",3
"From: infante@acpub.duke.edu (Andrew  Infante)
Subject: Insurance and lotsa points...
Organization: Duke University; Durham, N.C.
Lines: 15
Nntp-Posting-Host: north1.acpub.duke.edu

Well, it looks like I'm F*cked for insurance.

I had a DWI in 91 and for the beemer, as a rec.
vehicle, it'll cost me almost $1200 bucks to insure/year.

Now what do I do?

(I could probably just sell the bike and return my DoD number,...
)

-- 
Andy Infante  | You can listen to what everybody says, but the fact remains   |
'71 BMW R60/5 | that you've got to get out there and do the thing yourself.   | 
DoD #2426     |                             -- Joan Sutherland                | 
==============| My opinions, dammit, have nothing to do with anyone else!!!   | 
",4
"From: wow@cup.portal.com (wallace otis waggoner)
Subject: 2 SMC 270E ARCNET cars for sale $50ea.
Organization: The Portal System (TM)
Distribution: world
Lines: 4

I have 2 new SMC 270E ARCNET cards for sale . They are brand new. $50 each

wow@cup.portal.com
Wally Waggoner
",2
"From: merlin@lerami.lerctr.org (David Hayes)
Subject: Re: The [secret] source of that announcement
Distribution: inet
Organization: Not Bloody Likely!
Lines: 51

In article <1r3vjhINN5iq@dns1.NMSU.Edu>
amolitor@nmsu.edu (Andrew Molitor) writes:
>In article <gradyC5uAMw.BnG@netcom.com> grady@netcom.com (1016/2EF221) writes:
>If you can get it for a buck, 2nd hand, it must be true, eh? I'm pretty
>sure the NSA is supposed to, among many other things, provide high-quality
>cryptosystems to a variety of places. I don't recall reading anywhere
>reliable that they're supposed to:
>
>	1) Monitor my phonecalls.
>	2) Monitor usenet.
>	3) Provide only cryptosystems they can easily crack.
>	4) etc etc.
>
>	This is not to say that they *don't*, they might. But you don't
>know that they do, and you have no evidence that they do, for almost
>all values of you. It follows, therefore, that for most values of 'you',
>your claims about the NSA border on paranoia.
>
>	Andrew
>

OK, Andrew, I'll provide some evidence. A friend of mine worked for an
electronics manufacturer on with a west-coast office. They routinely sold
equipment to the Japanese. One day, the Japanese started showing up with
discount demands that were amazingly close to the cost to manufacture the
products.

This company routinely sent most of the manufacturing data to the field 
offices. The Japanese had simply intercepted it. So my friend, the computer
systems admin, came up with a solution. He started sending the data out
double-block-encrypted with DES. 

Two days after this new distribution plan was implemented, the president of
the company got a visit from a pair of government agents. They told him to
""knock it off"". The president gave in, since his company did a considerable
business with the federal government.

Now, if the government wasn't monitoring the communications, how would they
even know that the encryption system was installed? Further, since encryp-
tion isn't illegal, and DES certainly isn't, what is the basis of the
government's cease-and-desist demand?

The spooks do whatever they think is necessary, with or without the blessings
of the law. I'll say ""no thanks"" to Clipper, or anything else the government
produces. For the moment, double or triple DES is probably adequate. And when
the line is idle, send random garbage, just to keep 'em busy. 

    David Hayes    merlin@lerami.lerctr.org



",6
"From: ljuca+@CS.CMU.EDU (Ljubomir Perkovic)
Subject: Draining battery
Nntp-Posting-Host: gs20.sp.cs.cmu.edu
Organization: Carnegie Mellon University
Lines: 12

I have a problem with the battery on my '83 Honda CB650 NightHawk.
Every week or so it is dead and I have to recharge it. I ride the bike 
every day, the battery is new and the charging system was checked 
thoroughly and it seems fine. My suspicion is that it is draining
somewhere. 

Do you have any idea about what is causing this problem?
Please help since my mechanic and me are clueless!...

Ljubomir


",4
"From: jar2e@faraday.clas.Virginia.EDU (Virginia's Gentleman)
Subject: Re: was:Go Hezbollah!!
Organization: University of Virginia
Lines: 4

We really should try to be as understanding as we can for Brad, because it
appears killing is all he knows.

Jesse
",9
